[2026-06-29 16:04:34] === 1/3 Google Places photos ===
Google enriching 5459 places (photos=True)
  1420/5459 — matched 507, updated 507, photos 425
  1430/5459 — matched 512, updated 512, photos 428
  1440/5459 — matched 516, updated 516, photos 432
  1450/5459 — matched 519, updated 519, photos 434
  1460/5459 — matched 525, updated 525, photos 438
  1470/5459 — matched 531, updated 531, photos 444
  1480/5459 — matched 536, updated 536, photos 447
  1490/5459 — matched 541, updated 541, photos 451
  1500/5459 — matched 543, updated 543, photos 453
  1510/5459 — matched 549, updated 549, photos 459
  1520/5459 — matched 554, updated 554, photos 463
  1530/5459 — matched 557, updated 557, photos 465
  1540/5459 — matched 561, updated 561, photos 469
  1550/5459 — matched 567, updated 567, photos 474
  1560/5459 — matched 574, updated 574, photos 481
  1570/5459 — matched 581, updated 581, photos 486
  1580/5459 — matched 585, updated 585, photos 490
  1590/5459 — matched 591, updated 591, photos 496
  1600/5459 — matched 594, updated 594, photos 499
  1610/5459 — matched 598, updated 598, photos 503
  1620/5459 — matched 603, updated 603, photos 507
  1630/5459 — matched 608, updated 608, photos 512
  1640/5459 — matched 616, updated 616, photos 520
  1650/5459 — matched 620, updated 620, photos 523
  1660/5459 — matched 623, updated 623, photos 524
  1670/5459 — matched 627, updated 627, photos 528
  1680/5459 — matched 634, updated 634, photos 535
  1690/5459 — matched 640, updated 640, photos 541
  1700/5459 — matched 643, updated 643, photos 544
  1710/5459 — matched 646, updated 646, photos 546
  1720/5459 — matched 648, updated 648, photos 548
  1730/5459 — matched 653, updated 653, photos 553
  1740/5459 — matched 661, updated 661, photos 561
  1750/5459 — matched 663, updated 663, photos 563
  1760/5459 — matched 666, updated 666, photos 564
  1770/5459 — matched 672, updated 672, photos 569
  1780/5459 — matched 678, updated 678, photos 575
  1790/5459 — matched 683, updated 683, photos 580
  1800/5459 — matched 691, updated 691, photos 587
  1810/5459 — matched 692, updated 692, photos 588
  1820/5459 — matched 696, updated 696, photos 591
  1830/5459 — matched 699, updated 699, photos 594
  1840/5459 — matched 701, updated 701, photos 596
  1850/5459 — matched 705, updated 705, photos 600
  1860/5459 — matched 712, updated 712, photos 606
  1870/5459 — matched 720, updated 720, photos 614
  1880/5459 — matched 724, updated 724, photos 618
  1890/5459 — matched 730, updated 730, photos 623
  1900/5459 — matched 734, updated 734, photos 626
  1910/5459 — matched 737, updated 737, photos 629
  1920/5459 — matched 741, updated 741, photos 633
  1930/5459 — matched 745, updated 745, photos 635
  1940/5459 — matched 750, updated 750, photos 640
  1950/5459 — matched 756, updated 756, photos 644
  1960/5459 — matched 764, updated 764, photos 651
  1970/5459 — matched 768, updated 768, photos 655
  1980/5459 — matched 772, updated 772, photos 659
  1990/5459 — matched 773, updated 773, photos 660
  2000/5459 — matched 778, updated 778, photos 665
  2010/5459 — matched 782, updated 782, photos 669
  2020/5459 — matched 789, updated 789, photos 676
  2030/5459 — matched 790, updated 790, photos 677
  2040/5459 — matched 794, updated 794, photos 680
  2050/5459 — matched 799, updated 799, photos 684
  2060/5459 — matched 804, updated 804, photos 688
  2070/5459 — matched 806, updated 806, photos 690
  2080/5459 — matched 812, updated 812, photos 695
  2090/5459 — matched 814, updated 814, photos 697
  2100/5459 — matched 821, updated 821, photos 704
  2110/5459 — matched 824, updated 824, photos 706
  2120/5459 — matched 831, updated 831, photos 712
  2130/5459 — matched 834, updated 834, photos 715
  2140/5459 — matched 839, updated 839, photos 718
  2150/5459 — matched 846, updated 846, photos 724
  2160/5459 — matched 855, updated 855, photos 733
  2170/5459 — matched 859, updated 859, photos 736
  2180/5459 — matched 861, updated 861, photos 738
  2190/5459 — matched 868, updated 868, photos 743
  2200/5459 — matched 872, updated 872, photos 747
  2210/5459 — matched 877, updated 877, photos 751
  2220/5459 — matched 883, updated 883, photos 757
  2230/5459 — matched 887, updated 887, photos 761
  2240/5459 — matched 893, updated 893, photos 765
  2250/5459 — matched 894, updated 894, photos 766
  2260/5459 — matched 895, updated 895, photos 766
  2270/5459 — matched 897, updated 897, photos 767
  2280/5459 — matched 899, updated 899, photos 769
  2290/5459 — matched 900, updated 900, photos 770
  2300/5459 — matched 903, updated 903, photos 773
  2310/5459 — matched 906, updated 906, photos 776
  2320/5459 — matched 906, updated 906, photos 776
  2330/5459 — matched 909, updated 909, photos 779
  2340/5459 — matched 915, updated 915, photos 785
  2350/5459 — matched 921, updated 921, photos 791
  2360/5459 — matched 926, updated 926, photos 796
  2370/5459 — matched 933, updated 933, photos 803
  2380/5459 — matched 939, updated 939, photos 809
  2390/5459 — matched 944, updated 944, photos 814
  2400/5459 — matched 953, updated 953, photos 823
  2410/5459 — matched 961, updated 961, photos 831
  2420/5459 — matched 970, updated 970, photos 840
  2430/5459 — matched 979, updated 979, photos 847
  2440/5459 — matched 989, updated 989, photos 856
  2450/5459 — matched 995, updated 995, photos 862
  2460/5459 — matched 1002, updated 1002, photos 869
  2470/5459 — matched 1009, updated 1009, photos 876
  2480/5459 — matched 1015, updated 1015, photos 882
  2490/5459 — matched 1018, updated 1018, photos 885
  2500/5459 — matched 1024, updated 1024, photos 891
  2510/5459 — matched 1031, updated 1031, photos 898
  2520/5459 — matched 1034, updated 1034, photos 900
  2530/5459 — matched 1037, updated 1037, photos 902
  2540/5459 — matched 1044, updated 1044, photos 908
  2550/5459 — matched 1054, updated 1054, photos 916
  2560/5459 — matched 1062, updated 1062, photos 924
  2570/5459 — matched 1067, updated 1067, photos 928
  2580/5459 — matched 1073, updated 1073, photos 934
  2590/5459 — matched 1077, updated 1077, photos 936
  2600/5459 — matched 1078, updated 1078, photos 937
  2610/5459 — matched 1081, updated 1081, photos 940
  2620/5459 — matched 1083, updated 1083, photos 941
  2630/5459 — matched 1085, updated 1085, photos 943
  2640/5459 — matched 1086, updated 1086, photos 944
  2650/5459 — matched 1086, updated 1086, photos 944
  2660/5459 — matched 1090, updated 1090, photos 947
  2670/5459 — matched 1094, updated 1094, photos 951
  2680/5459 — matched 1104, updated 1104, photos 959
  2690/5459 — matched 1114, updated 1114, photos 969
  2700/5459 — matched 1124, updated 1124, photos 979
  2710/5459 — matched 1134, updated 1134, photos 988
  2720/5459 — matched 1144, updated 1144, photos 994
  2730/5459 — matched 1154, updated 1154, photos 1002
  2740/5459 — matched 1164, updated 1164, photos 1010
  2750/5459 — matched 1174, updated 1174, photos 1018
  2760/5459 — matched 1184, updated 1184, photos 1025
  2770/5459 — matched 1194, updated 1194, photos 1033
  2780/5459 — matched 1204, updated 1204, photos 1042
  2790/5459 — matched 1214, updated 1214, photos 1051
  2800/5459 — matched 1224, updated 1224, photos 1060
  2810/5459 — matched 1234, updated 1234, photos 1067
  2820/5459 — matched 1244, updated 1244, photos 1075
  2830/5459 — matched 1254, updated 1254, photos 1085
  2840/5459 — matched 1264, updated 1264, photos 1093
  2850/5459 — matched 1274, updated 1274, photos 1100
  2860/5459 — matched 1284, updated 1284, photos 1109
  2870/5459 — matched 1294, updated 1294, photos 1113
  2880/5459 — matched 1304, updated 1304, photos 1120
  2890/5459 — matched 1313, updated 1313, photos 1127
  2900/5459 — matched 1323, updated 1323, photos 1136
  2910/5459 — matched 1333, updated 1333, photos 1144
  2920/5459 — matched 1342, updated 1342, photos 1150
  2930/5459 — matched 1352, updated 1352, photos 1156
  2940/5459 — matched 1360, updated 1360, photos 1162
  2950/5459 — matched 1370, updated 1370, photos 1169
  2960/5459 — matched 1380, updated 1380, photos 1178
  2970/5459 — matched 1389, updated 1389, photos 1185
  2980/5459 — matched 1399, updated 1399, photos 1191
  2990/5459 — matched 1409, updated 1409, photos 1200
  3000/5459 — matched 1419, updated 1419, photos 1207
  3010/5459 — matched 1429, updated 1429, photos 1216
  3020/5459 — matched 1439, updated 1439, photos 1226
  3030/5459 — matched 1449, updated 1449, photos 1235
  3040/5459 — matched 1459, updated 1459, photos 1244
  3050/5459 — matched 1469, updated 1469, photos 1253
  3060/5459 — matched 1478, updated 1478, photos 1260
  3070/5459 — matched 1488, updated 1488, photos 1267
  3080/5459 — matched 1498, updated 1498, photos 1273
  3090/5459 — matched 1508, updated 1508, photos 1282
