id,name,folder,flag_count,flags,website,coord_precision
403be6b3a776,Amitabha Buddhist Society of Oregon,"Pure Land, Soka Gakkai, Jodo Shin",4,"missing_website,missing_description,missing_photo,missing_hours",,address
61116e452f10,Amitabha Foundation Canada,Office of Tibet (Canada),3,"missing_description,missing_photo,missing_hours",https://www.bnbc.ca/,unknown
4f1a9b54fe65,Amitabha Society of Canada,BuddhaNet (Canada),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Pure,unknown
93880c03c454,Amitabha Society of Huntsville,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/985,unknown
3fae56b2f9ee,Amitabha Society of Las Vegas,BuddhaNet (United States of America),3,"missing_description,missing_photo,missing_hours",https://www.annunciationdecatur.org/,unknown
a7cc2a8861be,Amitabha Society of Madison,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/9,unknown
53256afda8fc,Amitabha Stupa and Peace Park,Tibetan,2,"unverified_description,missing_hours",https://www.tara.org/amitabha-stupa/,address
dc1bd4188c52,Amma’s Ashram,Wolf K Asia Retreats (India),4,"missing_phone,missing_description,missing_photo,missing_hours",https://www.amritapuri.org/ashram,unknown
f53f435824f6,Amrita Dzong Frankfurt,BuddhaNet (Germany),6,"missing_phone,bad_website,stacked_coords,missing_description,missing_photo,missing_hours",http://mapof.it/63067,unknown
4e080c944e61,Amsterdam Zen Group,BuddhaNet (Netherlands),4,"missing_phone,missing_description,missing_photo,missing_hours",https://www.ulucamii.nl,unknown
4cf6e018ef57,An Bang Buddhist Temple,Chinese Temple,3,"missing_website,missing_description,missing_hours",,address
d2514b1edf7f,An Lac Hanh Buddhist Temple,Vietnamese Temples,3,"missing_phone,missing_website,missing_description",,address
29feedc6a3ee,An Lạc Temple,Vietnamese Temples,2,"missing_description,missing_hours",https://firststreetbible.com/,address
8b49ff44afb4,An Quang Buddhist Temple,Vietnamese Temples,2,"missing_website,missing_description",,address
e876082b7224,Anand Prakash Yoga Ashram,Wolf K Asia Retreats (India),1,missing_description,https://akhandayoga.com/pages/yoga-ashrams,address
668e7ad058dc,Ananda Buddha Vihara Trust,BuddhaNet (India),3,"missing_description,missing_photo,missing_hours",https://www.mahabodhihyd.org/,unknown
3917d9549c10,Ananda Vihara,BuddhaNet (Bangladesh),5,"bad_website,stacked_coords,missing_description,missing_photo,missing_hours","http://mapof.it/Tablechari,Rangamati",unknown
6818d2fb1782,Anandashram,Wolf K Asia Retreats (India),1,missing_description,https://anandashram.org/,address
aede7077ad13,Anchorage Zen Center,BuddhaNet (United States of America),2,"missing_description,missing_photo",http://www.anchoragezen.com/,address
fff4c867a232,Ann Arbor Karma Thegsum Choling,BuddhaNet (United States of America),1,missing_description,https://annarborktc.org/,address
297c8e1294d5,Annapolis Royal Shambhala Meditation Group,BuddhaNet (Canada),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/RR#2,unknown
